model,file,rows,panel,window,refit,hyperparameters,code provenance
per-bar lasso (all features),yhat_sub_lasso_all_features.parquet,20044,"FOMC panel (the panel of record), all features","2000 sessions of the bar's own rows, refit every session",every session,"recursive lasso, identifiability fix e4e9358, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
per-bar elastic net (all features),yhat_sub_enet_all_features.parquet,20044,"FOMC panel (the panel of record), all features","2000 sessions of the bar's own rows, refit every session",every session,"elastic net, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
per-bar ridge (live-feasible set),yhat_sub_ridge_live_feasible.parquet,20044,"FOMC panel (the panel of record), live-feasible set (ES moments and liquidity, VIX family, FOMC calendar; 16 columns)","2000 sessions of the bar's own rows, refit every session",every session,"ridge, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
per-bar lasso (live-feasible set),yhat_sub_lasso_live_feasible.parquet,20044,"FOMC panel (the panel of record), live-feasible set (16 columns)","2000 sessions of the bar's own rows, refit every session",every session,"recursive lasso, identifiability fix e4e9358, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
per-bar elastic net (live-feasible set),yhat_sub_enet_live_feasible.parquet,20044,"FOMC panel (the panel of record), live-feasible set (16 columns)","2000 sessions of the bar's own rows, refit every session",every session,"elastic net, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
"pooled ridge (HAR + calendar), same spec",yhat_pool_ridge_baseline.parquet,54056,"FOMC panel (the panel of record), HAR + calendar (no exogenous columns)","2000 sessions x 48 bars, one coefficient vector, refit every session",every session,"ridge, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
"pooled ridge (all features), same spec",yhat_pool_ridge_all_features.parquet,54056,"FOMC panel (the panel of record), all features","2000 sessions x 48 bars, one coefficient vector, refit every session",every session,"ridge, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
"pooled lasso (all features), same spec",yhat_pool_lasso_all_features.parquet,54056,"FOMC panel (the panel of record), all features","2000 sessions x 48 bars, one coefficient vector, refit every session",every session,"recursive lasso, identifiability fix e4e9358, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
"pooled elastic net (all features), same spec",yhat_pool_enet_all_features.parquet,54056,"FOMC panel (the panel of record), all features","2000 sessions x 48 bars, one coefficient vector, refit every session",every session,"elastic net, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
"pooled ridge (live-feasible set), same spec",yhat_pool_ridge_live_feasible.parquet,54056,"FOMC panel (the panel of record), live-feasible set (16 columns)","2000 sessions x 48 bars, one coefficient vector, refit every session",every session,"ridge, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
