block,item,n,value,unit,note
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, 2008-2009",501,0.0019103175553565252,RV21 max,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, 1998-2019",5484,6.170113741589581e-06,RV21 min,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, 1998-2019",5484,5.3040686745404196e-05,RV21 median,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, 1998-2019",5484,0.0019103175553565252,RV21 max,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, the whole replay",6572,6.170113741589581e-06,RV21 min,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, the whole replay",6572,5.4207566429640515e-05,RV21 median,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, the whole replay",6572,0.0019103175553565252,RV21 max,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,replayed sessions whose RV21 lies outside the overlap's support,6572,117,"sessions (105 below, 12 above)","the 2008-2009 maximum RV21 is 1.9103e-03, the overlap's maximum 1.5530e-03, a ratio of 1.230"
C3 extrapolating the 2020-2024 premium curve,replayed sessions on which the premium / spot clip binds,6593,"71 at the 5th-percentile floor, 7 at the 99th-percentile cap",sessions,"floor 0.0012224, cap 0.0164855, both from the overlap's own distribution"
C3 extrapolating the 2020-2024 premium curve,replayed sessions on which the implied remaining variance clip binds,6593,"95 at the 5th-percentile floor, 0 at the 99th-percentile cap",sessions,"floor 4.65438e-06, cap 0.000462758, both from the overlap's own distribution"
C3 extrapolating the 2020-2024 premium curve,replayed sessions taking the median-RV21 fallback (no full trailing window),6593,21,sessions,APPROXIMATION A4: they are priced at the curve's value at the overlap's median RV21 5.8749e-05
C4 the product did not exist,replayed sessions dated before 2016-01-01,6593,4504,sessions,"ASSUMED: no SPXW same-day expiry outside Friday; the milestones 2016-01-01 (M-W-F) and 2022-05-11 (daily) are stated assumptions used only to count sessions, not data"
C4 the product did not exist,"replayed sessions dated 2016-01-01..2022-05-11, on a Mon/Wed/Fri",6593,941,sessions,"ASSUMED: M-W-F same-day expiry listed; the milestones 2016-01-01 (M-W-F) and 2022-05-11 (daily) are stated assumptions used only to count sessions, not data"
C4 the product did not exist,"replayed sessions dated 2016-01-01..2022-05-11, on a Tue/Thu",6593,653,sessions,"ASSUMED: NO same-day expiry; the replay prices a book that did not exist; the milestones 2016-01-01 (M-W-F) and 2022-05-11 (daily) are stated assumptions used only to count sessions, not data"
C4 the product did not exist,replayed sessions dated 2022-05-11 onwards,6593,495,sessions,"ASSUMED: daily same-day expiry listed; the milestones 2016-01-01 (M-W-F) and 2022-05-11 (daily) are stated assumptions used only to count sessions, not data"
